Subject,Session,Age,Trial,ItemType,Topic,Target,Alternate,TestCue,TestItem.RESP,OtherAnswer.RESP,P1.Recall.Class,P2.Recall.Class,Belief.RESP,CR.RESP
101,1,32,1,Repeated,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,Greatrecession,,B,2,6,0
101,1,32,2,Changed_R,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,Fluvaccine,Hydration,1,2,6,1
101,1,32,3,Changed_NR,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,Oil,solar,1,2,6,1
101,1,32,4,Control,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,Clinton,,B,2,6,0
101,1,32,5,Control,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,simulatinghittingpedestrians,,1,2,6,0
101,1,32,6,Repeated,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,HilaryClinton,,B,2,6,0
101,1,32,7,Control,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,thoseabovesurplus,,B,2,5,0
101,1,32,8,Repeated,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,itdoesnotaffecttherateoficemelting,,B,2,6,0
101,1,32,9,Changed_NR,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,votedagainst,wereforaborderwall,1,2,5,1
101,1,32,10,Repeated,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,8,,E,2,5,0
101,1,32,11,Changed_NR,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,decreasedby60,0,B,2,3,1
101,1,32,12,Repeated,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,Allages,,B,2,6,0
101,1,32,13,Repeated,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,Clinton,,B,2,6,0
101,1,32,14,Changed_R,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,Toreducewhiplash,breakoutwindowsifneeded,1,2,6,1
101,1,32,15,Control,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,,,B,B,1,0
101,1,32,16,Control,Economy-GDP,42 times,Never,About how many times has the gross domestic product growth rate dropped below zero since 1946?,42,,B,2,1,0
101,1,32,17,Repeated,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,USolympians,,1,2,6,0
101,1,32,18,Changed_R,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,15th,2ndhighest,B,2,4,1
101,1,32,19,Repeated,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,Halfofamericans,,B,E,4,0
101,1,32,20,Changed_R,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2012,,B,2,5,0
101,1,32,21,Changed_R,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",consumesmorethanitproduUSisenergydependent,USproducesmorethanitconsumes,1,2,6,1
101,1,32,22,Control,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,0,1,2,4,1
101,1,32,23,Control,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,,1,2,6,0
101,1,32,24,Changed_R,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,NeitherPlannedParenthoodnorNRA,GivesdiscountstoPlannedParenthoodandnotNRA,1,2,5,1
101,1,32,25,Control,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",GunsellerswhosaidtheyareChristians,,B,2,6,0
101,1,32,26,Repeated,Military_Pay,Every year since '83,None in 10 years,With what frequency have members of the US military received pay raises in recent years?,everyyearsince2018,everyyearsince2017,E,E,4,1
101,1,32,27,Repeated,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,Coal,,B,2,6,0
101,1,32,28,Changed_R,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,NCcutbudgetstoallschoolswhilefavoring1republicandistrict,NCcutbudgtin2017,E,E,6,1
101,1,32,29,Repeated,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,Hasdecreasedby20,,B,E,3,0
101,1,32,30,Repeated,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,In2004,,B,2,6,0
101,1,32,31,Changed_NR,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",Arrestthoseinchargeofsanctuarycities,,B,1,5,0
101,1,32,32,Changed_NR,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,Alcohol,Marijuanawaseasiest,2,2,6,1
101,1,32,33,Changed_R,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,19,270shootings,B,2,5,1
101,1,32,34,Changed_NR,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,29,0,B,E,4,1
101,1,32,35,Control,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,,,B,B,1,0
101,1,32,36,Control,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,Witawarrant,,B,2,6,0
101,1,32,37,Changed_R,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,7,,B,E,4,0
101,1,32,38,Changed_R,Politics-Quoting,Bernie Sanders,Mitt Romney,"Who claimed that Donald Trump ""has serious emotional problems?""",DemocrtBernieSanders,RepublicanMittRomney,1,2,6,1
101,1,32,39,Control,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",Anasteroid,,1,2,6,0
101,1,32,40,Changed_NR,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1980,2017,E,2,6,1
101,1,32,41,Control,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,,,B,B,1,0
101,1,32,42,Changed_NR,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,3rdhighestexportrevenus,1,2,6,1
101,1,32,43,Changed_NR,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,toprotestchildrenbeingseparatedfromtheirfamilies,wasputincageafterbeingtakenawayfromfamily,1,2,5,1
101,1,32,44,Changed_NR,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,doesnotagreeitcausesautism,theydoagree,1,2,6,1
101,1,32,45,Changed_NR,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,2billiondollars,4billiondollars,1,1,4,1
101,1,32,46,Control,Kenya_Mortality,AIDS,Malaria,What is the leading cause of death for Kenyans?,autoimmunedisorders,,1,2,6,0
101,1,32,47,Repeated,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,Veryunlikelyhewouldrunforpresident,,B,2,6,0
101,1,32,48,Changed_R,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",60canreadatage18,halfcantreadbyage18,E,2,5,1
101,1,32,49,Control,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15,,1,2,5,0
101,1,32,50,Changed_NR,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,duetothegovenorignoringoutbreakwarning,duetouncontrolledfloodingthatledtoanoutbreak,1,2,5,1
101,1,32,51,Repeated,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,1million,,1,2,5,0
101,1,32,52,Changed_NR,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",siedlesslegislationsinceWWII,,B,2,5,0
101,1,32,53,Changed_R,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,90thatrankgrandmasterlesstha2countries,UShasnocompetitivechessplayersthatrankgrandmasterlessthanallcountries,1,2,5,1
101,1,32,54,Changed_R,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2012,lastyearwas1946,B,E,3,1
101,1,32,55,Control,President_Gas,Obama,Trump,Under what presidential administration did the price of gas drop by 40%?,Obamaadministration,,B,2,6,0
101,1,32,56,Repeated,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,Itdecreasedby15,,B,E,4,0
101,1,32,57,Changed_R,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,citieswillbefined,homeowners,1,2,6,1
101,1,32,58,Changed_R,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,prochoiceupuntilrecently,B,2,6,1
101,1,32,59,Changed_NR,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,therewasnoevideceofvoterfraud,,B,2,6,0
101,1,32,60,Changed_NR,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",hadalwaysbeenheldbyarepublican,,B,E,4,0
