Subject,Session,Age,Trial,SubTrial,ItemType,Topic,Target,Alternate,TestCue,TestItem.RESP,OtherAnswer.RESP,P1.Recall.Class,P2.Recall.Class,Belief.RESP,CR.RESP
101,1,18,3,1,Repeated,Race/Protest,Olympians,NFL,What type of athletes were the first to use their sport for protest in the US?,olympic,,,2,5,2
101,1,18,3,2,Changed_NR,Murder_year,1980,2017,In what year did the murder rate in the US peak?,1980,2017,1,2,5,1
101,1,18,3,3,Changed_R,Chess,90,0,How many competitive chess players in the US have attained the rank of Grandmaster?,90,0,1,2,5,1
101,1,18,3,4,Repeated,US_Unemployment,8%,36%,What is the estimated unemployment rate in the US?,8,,,2,5,2
101,1,18,3,5,Changed_NR,Voter_Fraud,No evidence,substantial ,What were the results of investigation of voter fraud In the 2016 presidential election?,noevidence,subsantialevidence,1,2,6,1
101,1,18,3,6,Changed_R,Car Headrests,prevent whiplash,breaking windows,For what purpose are removable headrests in cars designed?,preventwhiplash,breakawindow,1,2,6,1
101,1,18,3,7,Control,Tariffs,Above a surplus,all,What American dairy products does the Canadian government place a high tariff on?,,,,B,5,2
101,1,18,3,8,Changed_R,NC-Education,Provides for almost all schools,Leaves most schools without,How does the 2018 NC education budget affect schools' access to supplies?,,,,B,4,2
101,1,18,3,9,Control,Race_Starbucks,2,2 million,How much money did two young African American's settle for in a case against Starbucks coffee?,2,,,2,5,2
101,1,18,3,10,Changed_R,Energy_Independence,more consumed,more produced,"How much energy does the US consume, in relation to how much it produces?",more,less,1,2,6,1
101,1,18,3,11,Changed_NR,UN_Resolutions,329,24,How many resolutions did the UN pass in 2016?,329,,,2,5,2
101,1,18,3,12,Repeated,News sources,Less than half,More than half,What proportion of Americans report getting their news from Facebook?,lessthanhalf,,,2,5,2
101,1,18,3,13,Changed_NR,Immigration-Children,At a protest,Separated from parents,Under what circumstances was a young boy placed in a small animal cage in 2018?,protest,0,B,2,6,1
101,1,18,3,14,Changed_NR,Trump- wall,sued to stop,begged for wall,How did Californians react to the idea of a border wall?,theysuedtopreventit,supportedit,1,2,5,1
101,1,18,3,15,Control,NASA,An asteroid.,A second moon.,"According to NASA, what is distantly orbiting the Earth?",asteroid,,,2,5,2
101,1,18,3,16,Changed_NR,Disease-Illinois,Hesitation to respond by governor,flooding,What led to the deaths of 12 veterans in Illinois by disease?,governorshesitation,flood,1,2,5,1
101,1,18,3,17,Repeated,Gas_2018,Rose 15%,Rose 25%,How did the price of gas change in the first half of 2018?,increasedby15,increasedby25,1,2,6,1
101,1,18,3,18,Changed_NR,Vaccines_Autism,Do not cause,vaccines cause autism,What is the scientific community's stance on vaccines and autism?,vaccinesdontcauseautism,vaccinescauseautism,1,2,6,1
101,1,18,3,19,Changed_NR,Clinton-Nkorea,1.4 Billion,3 Billion,How much money did the Clinton administration give to North Korea in aid?,13billion,3billion,1,2,5,1
101,1,18,3,20,Changed_NR,Africa_Revenue,0.10%,Third largest export,What proportion of Africa's export revenue is supplied by music?,1,0,E,2,6,1
101,1,18,3,21,Control,Trump-Budget,20%,80%,About what percentage of the CDC budget is being cut by the Trump administration?,,,,B,4,2
101,1,18,3,22,Changed_R,Mass shootings,19,270,How many shootings occurred in 2017 that resulted in 4 or more deaths?,,273,E,B,5,1
101,1,18,3,23,Changed_R,Cali-Statelaw,Cities,Homeowners,Who will be fined by the state of California for overusing water?,cities,homeowners,1,2,6,1
101,1,18,3,24,Control,Gun Control_Registry,7,10,How many states in the US prohibit a state-wide gun registry?,7,,,2,6,2
101,1,18,3,25,Repeated,Black Homeownership,2004,2017,In what year did black homeownership reach its highest level?,2004,,,2,6,2
101,1,18,3,26,Changed_NR,Green Energy_Jobs,Oil,Solar,What energy based industry currently provides the most jobs in the US?,solar,,,1,3,2
101,1,18,3,27,Repeated,Carbon Footprint,Coal,Wind,What energy source mentioned leaves the largest carbon footprint?,coal,,,2,5,2
101,1,18,3,28,Changed_NR,Sanctuary-Cities,Cut funding,Arrest Leaders,"What has Donald Trump promised to do in response to ""Sanctuary Cities?""",,,,B,4,2
101,1,18,3,29,Changed_NR,Trump-Immigration,dropped by 61%,increased by 78%,By what percentage did illegal traffic apprehensions change from November 2016 to July 2017?,63,,,2,3,2
101,1,18,3,30,Changed_R,Abortion-Bieber,Stayed Pro life,Changed from pro choice to pro life,What have Justin Bieber's views on abortion been in recent years?,prolife,prochoice,1,2,5,1
101,1,18,3,31,Repeated,Tennesee_Unemployment,The Great Recession,Bad Leadership,What caused a spike in Tennesee's unemployment rate in the early 2000's?,,,,B,4,2
101,1,18,3,32,Changed_R,Gun_Control_Background,13%,25%,About what percentage of firearms are sold without background checks in the US?,13,25,1,2,5,1
101,1,18,3,33,Control,Pope_GunControl,Gun Manufacturers,Gun Owners,"Who did Pope Francis refer to as ""untrustworthy?""",,,,B,4,2
101,1,18,3,34,Changed_R,Coffee,15th,2nd,What rank does coffee hold in most traded commidities as of the year 2000?,fifteenth,second,1,2,5,1
101,1,18,3,35,Control,Residing_Immigrants,11 million,32 million,About how many illegal immigrants currently reside in the USA?,11million,,,2,4,2
101,1,18,3,36,Repeated,Global_Warming_Antarctica,Does not outweigh melting,Outweighs melting,How does the increase in Antarctica's snow caused by global warming relate to the rate ice is melting?,,,,B,5,2
101,1,18,3,37,Control,GunControl_Warrant,require a warrant,at any time,Under what conditions may a police officer confiscate a citizen's firearm?,warrant,,,2,4,2
101,1,18,3,38,Control,Economy_Cars,Simulation of hitting a person,Dropping a bowling ball,How are American cars tested in Japan?,hittingapedestrian,,,2,5,2
101,1,18,3,39,Repeated,Hurricane_Relief,>1 million,>12 million,How many residents of Texas were left homeless by Hurricane Harvey?,15million,,,E,2,2
101,1,18,3,40,Repeated,2020_Biden,Is unlikely to run.,Definitely runninng,What did Joe Biden claim about his candidacy for election in 2020?,hewillnotrun,,,2,4,2
101,1,18,3,41,Changed_NR,Teen Drug Use,Alcohol,Marijuana,What substance do US teens report as being easiest to acquire?,alcohol,marijuana,1,2,4,1
101,1,18,3,42,Changed_R,Liberian_Women,60%,less than 38%,"In Liberia, what percentage of young women are able to read?",60,lessthan38,1,2,5,1
101,1,18,3,43,Control,Tax_Allocation,"Social (""Medicare"")","Military (""War on Terror"")",What type of program does the majority of tax-payers' money go towards?,social,,,2,5,2
101,1,18,3,44,Changed_R,Voter Turnout,Higher than 2012,lowest since 1996,In what year was the last presidential election which featured lower voter turnout than that of 2016?,2012,1994,1,2,6,1
101,1,18,3,45,Changed_R,Rep_Control,2007,1928,"When was the last year that republicans controlled the white house, house of representatives, and the senate?",2007,1928,1,2,5,1
101,1,18,3,46,Repeated,Missouri_Unemployment,Clinton,Trump,Under what president did Missouri's unemployment rates reach their lowest levels?,clinton,,,2,3,2
101,1,18,3,47,Control,Pres_Vacation,Clinton,Obama,Which recent president took the fewest vacation days?,,,,B,3,2
101,1,18,3,48,Changed_NR,Trump-Legislation,less than any since WW2,more than any other president,"How much legislation did President Trump sign in his first year, in relation to other presidents?",less,more,1,2,5,1
101,1,18,3,49,Control,Education_Texas,1.50%,50%,About what percentage of new teachers in Texas are without a college degree?,15,,,2,4,2
101,1,18,3,50,Changed_NR,AlabamaRep. in senate,21,30 years,"For how many years had the Alabama senate seat been held by a republican, prior to 2017?",,,,B,3,2
101,1,18,3,51,Repeated,Popular_Vote,Clinton,Trump,Who won the popular vote in the 2016 presidential election?,hillary,,,2,4,2
101,1,18,3,52,Repeated,Illegal_Immigration_Mexican_Border,Down 25%,Down 40%,By what percentage has the number of illegal border crossings changed since 2016?,25,,,2,4,2
101,1,18,3,53,Repeated,Flu_Age,everyone,only older people,What age range of people should receive a flu vaccine?,allages,,,2,5,2
101,1,18,3,54,Changed_R,DeltaAirlines,none,planned parenthood,To members of what major organizations does Delta Airlines give discounts?,none,0,E,2,5,1
101,1,18,3,55,Changed_R,Flu_Hydration,Vaccination,Staying hydrated,What is the best protection against the flu?,vaccine,stayinghydrated,1,2,5,1
